"deposit_timestamp","transaction_hash","origin_chain_id","destination_chain_id","deposit_id","depositor_address","recipient_address","input_token_address","input_token_symbol","output_token_address","output_token_symbol","input_amount","output_amount"
"2025-12-03 00:47:35+01","0xe4d1d270e6ccfa84ebd8598214909f524018a750ec3a3cdaaf5f5f54f703154d",1,"137","3470405","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1511.832487","1.511613895e-09"
"2025-12-03 01:04:11+01","0xde1762c3390228e3981dbc6b69d0ef4a5146cd7b642aef49d9d402cadbbfc3a8",1,"137","3470436","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","810.530308","8.10396295e-10"
"2025-12-03 01:39:11+01","0x3cdcbf50e29f024787ce79f9d19450cc772787b61b4f522679d99e602ef1b699",1,"137","3470523","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","2482.5","2.482141341e-09"
"2025-12-03 01:46:23+01","0x70f7ec181f66c701d432d25bd9cf8757e1d652c62dfd3cf3bb50c85b9f41b1b2",1,"137","3470540","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","3971.007","3.970473841e-09"
"2025-12-03 02:31:59+01","0x26205792145fef78bca7341f75114656f93562cf96b6712815cec13b419f34bb",1,"137","3470598","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","7447.5","7.446508616e-09"
"2025-12-03 02:44:11+01","0x92bba0daac8a916b4f2cac117a953b74fe10c14a712ea0c2f5bdc0e010fdd017",1,"137","3470629","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","1042.65","1.042447645e-09"
"2025-12-03 02:54:47+01","0x5775d8c9bd3c1cea1b07904e6c210fd78c110813c2393fd552cbec3787b2b8ab",1,"137","3470639","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","218.46","2.18371605e-10"
"2025-12-03 03:03:11+01","0x8228858e744da0fe66a245797f21edf18177db7c235ef5264536599566427040",1,"137","3470648","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","993.001986","9.92804405e-10"
"2025-12-03 03:05:11+01","0x4705bc1a79fe5464c7737aa9e4ef30c972ee8e4e41700497eea684ebdcf226ad",1,"137","3470652","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","595.8","5.95646248e-10"
"2025-12-03 03:50:47+01","0x04b56d6f0f6e9928bad8983decbb11a02f6af2692e8fc3134baa002ef075f737",1,"137","3470743","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","993","9.92837074e-10"
"2025-12-03 04:06:47+01","0xd920cfe8a8d1c693a758fce06ba114b309509f4c3621e8b9002ce81809b239cb",1,"137","3470781","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","5461.500993","5.460813145e-09"
"2025-12-03 05:43:11+01","0x8bf80adfc317db6ec4f3eac273babcf2c6326f56226c53bf72d18c7d4969e421",1,"137","3470959","0x3a54f61c8115ee886fbb65cf6bc6dc625d540bae","0xe0166434a2ad67536b5fdafcc9a6c1b41cc5e085","0xdac17f958d2ee523a2206206994597c13d831ec7","USDT","0x0000000000000000000000000000000000000000","POL","814.594452","8.14471356e-10"
